proposed,baseline,wins,ties,losses,n,ptype,metric,noise
PreOrder__Subset__2,br,6,0,2,8,BinaryVector,example_recall,0.2
PreOrder__Subset__2,cc,7,0,1,8,BinaryVector,example_recall,0.2
PreOrder__Subset__2,clr,8,0,0,8,BinaryVector,example_recall,0.2
PreOrder__Subset__None,br,8,0,0,8,BinaryVector,example_recall,0.2
PreOrder__Subset__None,cc,8,0,0,8,BinaryVector,example_recall,0.2
PreOrder__Subset__None,clr,8,0,0,8,BinaryVector,example_recall,0.2
ecc,br,4,0,4,8,BinaryVector,example_recall,0.2
ecc,cc,4,0,4,8,BinaryVector,example_recall,0.2
ecc,clr,8,0,0,8,BinaryVector,example_recall,0.2
lp,br,6,0,2,8,BinaryVector,example_recall,0.2
lp,cc,7,0,1,8,BinaryVector,example_recall,0.2
lp,clr,8,0,0,8,BinaryVector,example_recall,0.2
mlknn,br,5,0,3,8,BinaryVector,example_recall,0.2
mlknn,cc,6,0,2,8,BinaryVector,example_recall,0.2
mlknn,clr,8,0,0,8,BinaryVector,example_recall,0.2
PartialOrder__Hamming__2,br,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Hamming__2,cc,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Hamming__2,clr,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Hamming__None,br,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Hamming__None,cc,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Hamming__None,clr,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Subset__2,br,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Subset__2,cc,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Subset__2,clr,8,0,0,8,BinaryVector,example_recall,0.3
PartialOrder__Subset__None,br,8,0,0,8,BinaryVector,example_recall,0.3
